dataset,task,representation,model,split_seed,partition,assignment_basis
SEED-IV,arousal,relative_power,gpu_mlp,20261007,audit,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,linear_logistic,20260813,heldout,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,linear_logistic,20260829,audit,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,linear_logistic,20260911,heldout,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,linear_logistic,20260923,audit,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,linear_logistic,20261007,heldout,stratum_order_and_seed_only
SEED-IV,valence,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
SEED-IV,valence,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
SEED-IV,valence,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
SEED-IV,valence,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
SEED-IV,valence,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
SEED-IV,valence,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
SEED-IV,valence,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
SEED-IV,valence,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
SEED-IV,valence,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
SEED-IV,valence,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260813,audit,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260911,audit,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,gpu_mlp,20261007,audit,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260813,heldout,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260829,audit,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260911,heldout,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,linear_logistic,20260923,audit,stratum_order_and_seed_only
SEED-IV,valence,normalized_asymmetry,linear_logistic,20261007,heldout,stratum_order_and_seed_only
SEED-IV,valence,relative_power,gpu_mlp,20260813,audit,stratum_order_and_seed_only
SEED-IV,valence,relative_power,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
SEED-IV,valence,relative_power,gpu_mlp,20260911,audit,stratum_order_and_seed_only
SEED-IV,valence,relative_power,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
SEED-IV,valence,relative_power,gpu_mlp,20261007,audit,stratum_order_and_seed_only
SEED-IV,valence,relative_power,linear_logistic,20260813,heldout,stratum_order_and_seed_only
SEED-IV,valence,relative_power,linear_logistic,20260829,audit,stratum_order_and_seed_only
SEED-IV,valence,relative_power,linear_logistic,20260911,heldout,stratum_order_and_seed_only
SEED-IV,valence,relative_power,linear_logistic,20260923,audit,stratum_order_and_seed_only
SEED-IV,valence,relative_power,linear_logistic,20261007,heldout,stratum_order_and_seed_only
